record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
1,7,16,1977,2,NL,M,32,NA,Neotoma,albigula,Rodent,Control
72,8,19,1977,2,NL,M,31,NA,Neotoma,albigula,Rodent,Control
224,9,13,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
266,10,16,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
349,11,12,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
363,11,12,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
435,12,10,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
506,1,8,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
588,2,18,1978,2,NL,M,NA,218,Neotoma,albigula,Rodent,Control
661,3,11,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
748,4,8,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
845,5,6,1978,2,NL,M,32,204,Neotoma,albigula,Rodent,Control
990,6,9,1978,2,NL,M,NA,200,Neotoma,albigula,Rodent,Control
1164,8,5,1978,2,NL,M,34,199,Neotoma,albigula,Rodent,Control
1261,9,4,1978,2,NL,M,32,197,Neotoma,albigula,Rodent,Control
1374,10,8,1978,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
1453,11,5,1978,2,NL,M,NA,218,Neotoma,albigula,Rodent,Control
3,7,16,1977,2,DM,F,37,NA,Dipodomys,merriami,Rodent,Control
226,9,13,1977,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control
233,9,13,1977,2,DM,M,25,44,Dipodomys,merriami,Rodent,Control
245,10,16,1977,2,DM,M,37,39,Dipodomys,merriami,Rodent,Control
251,10,16,1977,2,DM,M,36,49,Dipodomys,merriami,Rodent,Control
257,10,16,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control
259,10,16,1977,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control
268,10,16,1977,2,DM,F,36,55,Dipodomys,merriami,Rodent,Control
346,11,12,1977,2,DM,F,37,36,Dipodomys,merriami,Rodent,Control
350,11,12,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control
354,11,12,1977,2,DM,M,38,44,Dipodomys,merriami,Rodent,Control
361,11,12,1977,2,DM,F,36,40,Dipodomys,merriami,Rodent,Control
422,12,10,1977,2,DM,F,37,42,Dipodomys,merriami,Rodent,Control
424,12,10,1977,2,DM,M,37,52,Dipodomys,merriami,Rodent,Control
427,12,10,1977,2,DM,F,37,37,Dipodomys,merriami,Rodent,Control
438,12,10,1977,2,DM,M,36,47,Dipodomys,merriami,Rodent,Control
449,12,10,1977,2,DM,M,35,43,Dipodomys,merriami,Rodent,Control
507,1,8,1978,2,DM,M,35,44,Dipodomys,merriami,Rodent,Control
511,1,8,1978,2,DM,M,36,38,Dipodomys,merriami,Rodent,Control
518,1,8,1978,2,DM,M,36,38,Dipodomys,merriami,Rodent,Control
519,1,8,1978,2,DM,M,38,48,Dipodomys,merriami,Rodent,Control
521,1,8,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control
522,1,8,1978,2,DM,F,37,35,Dipodomys,merriami,Rodent,Control
523,1,8,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control
527,1,8,1978,2,DM,F,37,37,Dipodomys,merriami,Rodent,Control
